# NANs have been skipped
mod_q intensity error delta_mod_q
3.000000E-03 1.544402E+00 1.916794E-01 1.022576E-03
3.216802E-03 1.290545E+00 9.972646E-02 1.024219E-03
3.449271E-03 1.289720E+00 9.863016E-02 1.025745E-03
3.698540E-03 1.261309E+00 7.359778E-02 1.028984E-03
3.965823E-03 1.214282E+00 6.811015E-02 1.032343E-03
4.252422E-03 1.191253E+00 5.683715E-02 1.034277E-03
4.559733E-03 1.354587E+00 4.857483E-02 1.039029E-03
4.889253E-03 1.216486E+00 4.054552E-02 1.043148E-03
5.242585E-03 1.270069E+00 3.343737E-02 1.047767E-03
5.621452E-03 1.209271E+00 2.847071E-02 1.053961E-03
6.027699E-03 1.232553E+00 2.386464E-02 1.060160E-03
6.463304E-03 1.215720E+00 2.019586E-02 1.067622E-03
6.930389E-03 1.208446E+00 1.737553E-02 1.076767E-03
7.431229E-03 1.201082E+00 1.528987E-02 1.085825E-03
7.968263E-03 1.198115E+00 1.331168E-02 1.097191E-03
8.544108E-03 1.208509E+00 1.185239E-02 1.109829E-03
9.161567E-03 1.213700E+00 1.073573E-02 1.124127E-03
9.823647E-03 1.186247E+00 9.688363E-03 1.140260E-03
1.053358E-02 1.181768E+00 8.814855E-03 1.158650E-03
1.129481E-02 1.182851E+00 8.056854E-03 1.179375E-03
1.211105E-02 1.172779E+00 7.388502E-03 1.203017E-03
1.298628E-02 1.162730E+00 6.849901E-03 1.229202E-03
1.392477E-02 1.140375E+00 6.236935E-03 1.258797E-03
1.493107E-02 1.129240E+00 6.056122E-03 1.291652E-03
1.601010E-02 1.110711E+00 5.758113E-03 1.328774E-03
1.716710E-02 1.095657E+00 5.418748E-03 1.370567E-03
1.840772E-02 1.063303E+00 5.066849E-03 1.416883E-03
1.973800E-02 1.033443E+00 4.734007E-03 1.468231E-03
2.116441E-02 1.004020E+00 4.434255E-03 1.524925E-03
2.269390E-02 9.661925E-01 4.071560E-03 1.588040E-03
2.433392E-02 9.170717E-01 3.759025E-03 1.657924E-03
2.609247E-02 8.847734E-01 3.513543E-03 1.734024E-03
2.797810E-02 8.235617E-01 3.180523E-03 1.817744E-03
3.000000E-02 7.762748E-01 2.936248E-03 1.909367E-03
3.216802E-02 7.239107E-01 2.916097E-03 2.007513E-03
3.449271E-02 6.709117E-01 6.566979E-03 2.123005E-03
3.449271E-02 6.683434E-01 3.072955E-03 2.117246E-03
3.698540E-02 6.305978E-01 3.474022E-03 2.221936E-03
3.698540E-02 6.225174E-01 3.132337E-03 2.235460E-03
3.965823E-02 5.689063E-01 3.242116E-03 2.392238E-03
3.965823E-02 5.795549E-01 3.688479E-03 2.363212E-03
4.252422E-02 5.206399E-01 3.206026E-03 2.515862E-03
4.559733E-02 4.678048E-01 2.456009E-03 2.683188E-03
4.889253E-02 4.468119E-01 2.241586E-03 2.826871E-03
5.242585E-02 4.006111E-01 1.883800E-03 3.002592E-03
5.621452E-02 3.685195E-01 1.631335E-03 3.214610E-03
6.027699E-02 3.469345E-01 1.430423E-03 3.424347E-03
6.463304E-02 3.226442E-01 1.304021E-03 3.644705E-03
6.930389E-02 3.019133E-01 1.115018E-03 3.884779E-03
7.431229E-02 2.900108E-01 1.012564E-03 4.150203E-03
7.968263E-02 2.816940E-01 9.590381E-04 4.426640E-03
8.544108E-02 2.736083E-01 8.237865E-04 4.727183E-03
9.161567E-02 2.665804E-01 7.942727E-04 5.056642E-03
9.823647E-02 2.648852E-01 7.116088E-04 5.403840E-03
1.053358E-01 2.611285E-01 6.332939E-04 5.787670E-03
1.129481E-01 2.587119E-01 6.241003E-04 6.192021E-03
1.211105E-01 2.591831E-01 5.501297E-04 6.618693E-03
1.298628E-01 2.583525E-01 5.111780E-04 7.095643E-03
1.392477E-01 2.575981E-01 4.801810E-04 7.600016E-03
1.493107E-01 2.577893E-01 4.415266E-04 8.133028E-03
1.601010E-01 2.582893E-01 4.107494E-04 8.714797E-03
1.716710E-01 2.569621E-01 3.844557E-04 9.335381E-03
1.840772E-01 2.573460E-01 3.508595E-04 1.000272E-02
1.973800E-01 2.564195E-01 3.283987E-04 1.071697E-02
2.116441E-01 2.561817E-01 3.073106E-04 1.147903E-02
2.269390E-01 2.571751E-01 2.819188E-04 1.230234E-02
2.433392E-01 2.568518E-01 2.627517E-04 1.318744E-02
2.609247E-01 2.567170E-01 2.454643E-04 1.414339E-02
2.797810E-01 2.567814E-01 2.298381E-04 1.515465E-02
3.000000E-01 2.558575E-01 2.122002E-04 1.624348E-02
3.216802E-01 2.558279E-01 1.978730E-04 1.740882E-02
3.449271E-01 2.556709E-01 1.833380E-04 1.867110E-02
3.698540E-01 2.561926E-01 1.723382E-04 2.001703E-02
3.965823E-01 2.557383E-01 1.612062E-04 2.144760E-02
4.252422E-01 2.555701E-01 1.627317E-04 2.297143E-02
4.559733E-01 2.559348E-01 1.624198E-04 2.464496E-02
4.889253E-01 2.558858E-01 1.607731E-04 2.642219E-02
5.242585E-01 2.557883E-01 1.580976E-04 2.833314E-02
5.621452E-01 2.556805E-01 1.547289E-04 3.037886E-02
6.027699E-01 2.554387E-01 1.517453E-04 3.257795E-02
6.463304E-01 2.558800E-01 1.477924E-04 3.492225E-02
6.930389E-01 2.556303E-01 1.440242E-04 3.745563E-02
7.431229E-01 2.557446E-01 1.405465E-04 4.015933E-02
7.968263E-01 2.553814E-01 1.417032E-04 4.298114E-02
8.544108E-01 2.553345E-01 2.671266E-04 4.551716E-02
